,Width,Height
0,640,640
1,256,256
2,224,224
3,256,256
4,224,224
5,256,256
6,256,256
7,256,256
8,630,630
9,256,256
10,256,256
11,256,256
12,256,256
13,224,224
14,256,256
15,256,256
16,256,256
17,468,444
18,256,256
19,256,256
20,256,256
21,256,256
22,224,224
23,256,256
24,256,256
25,256,256
26,256,256
27,468,444
28,224,224
29,256,256
30,256,256
31,256,256
32,256,256
33,256,256
34,224,224
35,256,256
36,224,224
37,256,256
38,393,400
39,256,256
40,224,224
41,224,224
42,550,664
43,256,256
44,256,256
45,256,256
46,256,256
47,256,256
48,256,256
49,256,256
50,442,442
51,256,256
52,256,256
53,256,256
54,224,224
55,256,256
56,256,256
57,256,256
58,256,256
59,150,198
60,256,256
61,256,256
62,256,256
63,256,256
64,256,256
65,224,224
66,256,256
67,256,256
68,225,225
69,256,256
70,224,224
71,256,256
72,256,256
73,256,256
74,256,256
75,256,256
76,256,256
77,926,649
78,256,256
79,256,256
80,256,256
81,256,256
82,256,256
83,224,224
84,225,225
85,417,424
86,256,256
87,256,256
88,256,256
89,256,256
90,256,256
91,256,256
92,256,256
93,224,224
94,224,224
95,400,442
96,256,256
97,256,256
98,256,256
99,256,256
100,256,256
101,256,256
102,256,256
103,256,256
104,225,225
105,256,256
106,256,256
107,256,256
108,224,224
109,256,256
110,224,224
111,256,256
112,256,256
113,224,224
114,224,224
115,256,256
116,256,256
117,224,224
118,224,224
119,256,256
120,225,225
121,256,256
122,256,256
123,256,256
124,256,256
125,256,256
126,256,256
127,256,256
128,630,630
129,256,256
130,256,256
131,256,256
132,256,256
133,256,256
134,256,256
135,256,256
136,256,256
137,256,256
138,236,231
139,256,256
140,256,256
141,256,256
142,256,256
143,256,256
144,256,256
145,256,256
146,256,256
147,256,256
148,356,474
149,256,256
150,256,256
151,256,256
152,256,256
153,256,256
154,256,256
155,256,256
156,256,256
157,225,225
158,256,256
159,256,256
160,256,256
161,256,256
162,256,256
163,256,256
164,256,256
165,235,227
166,256,256
167,256,256
168,256,256
169,256,256
170,256,256
171,256,256
172,256,256
173,206,244
174,275,183
175,256,256
176,256,256
177,256,256
178,256,256
179,256,256
180,256,256
181,256,256
182,442,442
183,256,256
184,256,256
185,256,256
186,256,256
187,640,640
188,640,640
189,640,640
190,640,640
191,640,640
192,640,640
193,200,252
194,640,640
195,640,640
196,640,640
197,640,640
198,640,640
199,630,630
200,640,640
201,640,640
202,640,640
203,640,640
204,640,640
205,640,640
206,256,256
207,256,256
208,256,256
209,256,256
210,256,256
211,256,256
212,256,256
213,256,256
214,256,256
215,256,256
216,256,256
217,256,256
218,256,256
219,512,512
220,512,512
221,512,512
222,512,512
223,236,263
224,512,512
225,512,512
226,512,512
227,512,512
228,256,256
229,256,256
230,256,256
231,256,256
232,256,256
233,225,225
234,256,256
235,256,256
236,512,512
237,512,512
238,512,512
239,512,512
240,512,512
241,512,512
242,256,256
243,256,256
244,256,256
245,256,256
246,256,256
247,256,256
248,256,256
249,228,221
250,512,512
251,256,256
252,256,256
253,256,256
254,256,256
255,256,256
256,256,256
257,256,256
258,630,630
259,235,257
260,512,512
261,512,512
262,512,512
263,512,512
264,256,256
265,512,512
266,512,512
267,512,512
